Epoch: [1][1/100]	Time 18.086	Total_Loss 47.283	CrossLoss 3.269	RegLoss 44.014	image/sec 1.7	remaining 6028m
Epoch: [1][2/100]	Time 0.233	Total_Loss 47.288	CrossLoss 3.275	RegLoss 44.013	image/sec 128.9	remaining 77m
Epoch: [1][3/100]	Time 0.255	Total_Loss 46.869	CrossLoss 2.858	RegLoss 44.011	image/sec 117.9	remaining 84m
Epoch: [1][4/100]	Time 0.253	Total_Loss 47.049	CrossLoss 3.040	RegLoss 44.009	image/sec 118.8	remaining 84m
Epoch: [1][5/100]	Time 0.223	Total_Loss 47.144	CrossLoss 3.137	RegLoss 44.006	image/sec 134.5	remaining 74m
Epoch: [1][6/100]	Time 0.239	Total_Loss 47.186	CrossLoss 3.182	RegLoss 44.003	image/sec 125.4	remaining 79m
Epoch: [1][7/100]	Time 0.239	Total_Loss 47.036	CrossLoss 3.036	RegLoss 44.000	image/sec 125.4	remaining 79m
Epoch: [1][8/100]	Time 0.233	Total_Loss 47.087	CrossLoss 3.090	RegLoss 43.997	image/sec 128.8	remaining 77m
Epoch: [1][9/100]	Time 0.239	Total_Loss 47.103	CrossLoss 3.109	RegLoss 43.993	image/sec 125.5	remaining 79m
Epoch: [1][10/100]	Time 0.257	Total_Loss 46.956	CrossLoss 2.967	RegLoss 43.990	image/sec 116.6	remaining 85m
Epoch: [1][11/100]	Time 0.230	Total_Loss 46.820	CrossLoss 2.835	RegLoss 43.986	image/sec 130.3	remaining 76m
Epoch: [1][12/100]	Time 0.239	Total_Loss 47.133	CrossLoss 3.151	RegLoss 43.982	image/sec 125.7	remaining 79m
Epoch: [1][13/100]	Time 0.251	Total_Loss 46.826	CrossLoss 2.849	RegLoss 43.977	image/sec 119.5	remaining 83m
Epoch: [1][14/100]	Time 0.231	Total_Loss 47.050	CrossLoss 3.077	RegLoss 43.973	image/sec 129.6	remaining 77m
Epoch: [1][15/100]	Time 0.226	Total_Loss 47.036	CrossLoss 3.068	RegLoss 43.968	image/sec 132.9	remaining 75m
Epoch: [1][16/100]	Time 0.224	Total_Loss 46.892	CrossLoss 2.929	RegLoss 43.963	image/sec 133.8	remaining 74m
